"iIdParada","sDenominacion","iCoordenadaUTMX","iCoordenadaUTMY"
1,Aeroport,848564,4563640
2,Adrià Gual 2,842072,4564446
3,Adrià Gual 1,842062,4564432
4,Agro Reus 2,842343,4564464
5,Agro Reus 1,842336,4564449
6,Alcolea,843528,4564778
7,Antoni Rubió i Lluch 2,842470,4564391
8,Antoni Rubió i Lluch 1,842469,4564377
9,Avinguda de Maria Fortuny 2,845614,4564411
10,Avinguda de Marià Fortuny 1,845652,4564421
11,Avinguda de Sant Jordi 2,844770,4564805
12,Avinguda de Sant Jordi 1,844757,4564832
13,Barri Montserrat ,845898,4561967
14,Barri Fortuny 1,845238,4563028
15,Barri Fortuny 2,845233,4563013
16,Barri Fortuny 2 bis,845331,4563069
17,Sagrada Familia,843721,4565043
18,Bellissens 1,845899,4563463
19,Bellissens 2,845893,4563432
20,Boca de la Mina,843548,4565241
21,Parc de la Festa 1,843640,4563841
22,Parc de la Festa 2,843626,4563867
23,Camí de Tarragona 2,845180,4564115
24,Camí de Tarragona 1,845201,4564120
25,Camí de Valls 2,845176,4564563
26,Camí de Valls 1,845198,4564553
27,CAP Marià Fortuny 1,845144,4563168
28,CAP Marià Fortuny 2,845135,4563158
29,CAP Sant Pere,844035,4564089
30,Carrilet,845113,4563848
31,Cementiri,846053,4565697
32,Clarassó,843559,4563396
33,Escola Marià Fortuny 1,845355,4562894
34,Escola Marià Fortuny 2,845352,4562878
35,Costa Rica,846212,4563649
36,Avinguda de Castellvell 1,844246,4565544
37,Avinguda de Castellvell 2,844266,4565553
38,Dipòsit de vehicles 2,842650,4564290
39,Dipòsit de vehicles 1,842646,4564269
40,Dom Bosco 2,845069,4564844
41,Dom Bosco 1,845080,4564867
42,Doctor  Vilaseca 2,843948,4564491
43,Doctor Vilaseca 1,843967,4564440
44,El Pinar 1 (fora de servei),844382,4566510
45,El Pinar ,844445,4566428
46,Estació d'autobusos 1,845145,4563528
47,Estació d'autobusos 2,845114,4563528
48,Estació d'autobusos 3,845147,4563574
49,Estadi Municipal 1,843001,4564448
50,Pompeu Fabra 2,845026,4565051
51,Pompeu Fabra 1,845008,4565080
52,Flix 1,845799,4562075
53,Flix 2,845788,4562067
54,Folch i Torres,844355,4564958
55,Font de Rubinat 1,844399,4564051
56,Font de Rubinat 2,844368,4564027
57,Gironès,844182,4566355
58,Greco 1,844856,4563569
59,Greco 2,844837,4563550
60,Horticultura 1,846846,4562717
61,IES Domènech i Montaner,844196,4565680
62,Immaculada  ,843661,4563422
63,IPM 1,842974,4565460
64,Jardins de Reus 2,845619,4564575
65,Jaume I 1,844956,4563769
66,Joan Rebull 2,844223,4564683
67,Joan Rebull 1,844189,4564668
68,Jutjats 2,845403,4564946
69,Jutjats 1,845432,4564978
70,La Salle 1,844687,4563715
71,La Salle 2 ,844675,4563689
72,Llibertat,844578,4564625
73,Mare Molas 1,844005,4563789
74,Mare Molas 2,844024,4563795
75,Mas Abelló 2,845783,4563678
76,Mas Batlle 2,841910,4564572
77,Mas Batlle 1,841908,4564551
78,Mas de les Ànimes 2,841772,4564677
79,Mas de les Animes 1,841774,4564762
80,Mas Iglesias 1,845207,4563600
81,Mas Iglesias 2,845244,4563584
82,Mas Tallapedra (NO),845916,4563837
83,Miami 1,844640,4563249
84,Miami 2,844627,4563254
85,Misercòrdia 1,844165,4563093
86,Misericòrdia 2,844171,4563168
87,Niloga 2,844503,4564849
88,Niloga 1,844511,4565020
89,Nucli 1,843825,4564556
90,Nucli 2,843846,4564555
91,Oques 1,844326,4564422
92,Oques 2,844279,4564411
93,Oques 3,844316,4564440
94,Pablo Picasso 2,845351,4563976
95,Pablo Picasso 1,845372,4563945
96,Països Catalans ,843908,4564321
97,Parcel·les Cases 1,845675,4562344
98,Parcel·les Cases 2,845659,4562341
99,Pare Manyanet 1,844127,4563271
100,Pare Manyanet 2,844133,4563321
101,Pastoreta 1,844591,4563774
102,Pastoreta 2,844591,4563732
103,Peixateries Velles,845088,4564264
104,Pelai 2,842920,4564767
105,Pelai 1,842899,4564726
106,Pere el Ceremoniós 1,844776,4563409
107,Pere el Ceremoniós 2,844752,4563417
108,Passeig dels Plàtans ,843551,4563536
109,Passeig de Prim 1,844500,4563853
110,Passeig de Prim 2,844460,4563845
111,Passeig de Sunyer 1,844333,4564206
112,Passeig de Sunyer 2,844320,4564124
113,Piscines Municipals 1,843735,4563959
114,Piscines Municipals 2,843704,4563974
115,Plaça Almoster 1,844302,4565223
116,Plaça Almoster 2,844319,4565234
117,Sant Josep 2,845950,4563553
118,Plaça de Prim,844704,4564390
119,Plaça Hèrcules 1,844831,4563898
120,Plaça Hèrcules 2,844799,4563909
121,Ploms 2,845519,4564199
122,Ploms 1,845600,4564273
123,Raval de Martí Folguera,844782,4564174
124,Raval de Robuster 1,844949,4564080
125,Recasens i Mercadé 2,842913,4564315
126,Recasens i Mercade 1,842939,4564318
127,Constantí 2,845564,4564739
128,Constantí 1,845604,4564754
129,RENFE 2,844228,4564775
130,RENFE 1,844211,4564844
131,RENFE (Aeroport),844160,4564905
132,Reus Transport ,841878,4564944
133,Riera,845243,4564521
134,Riera d'aAragó 2,845203,4564338
135,Riera d'aragó 1,845221,4564329
136,Ripollès,844314,4566434
137,Riudoms 1,843965,4563963
138,Riudoms 2,843979,4563987
139,Rovira i Virgili 2,842217,4564366
140,Rovira i Virgili 1,842241,4564368
141,Mas Pellicer,846149,4563393
142,Saragossa,843446,4565068
143,Sol i Vista 2,842895,4564525
144,Sol i Vista 1,843138,4564445
145,Sant Bernat Calbó 1,844458,4563074
146,Sant Bernat Calbó 2,844424,4563104
147,Tanatori 2,845349,4563845
148,Tanatori 1,845374,4563867
149,Tirant Lo Blanc,842998,4564561
150,Universitat 1,845982,4563337
151,Universitat 2 ,845955,4563289
152,Urbanització Juncosa 1,845479,4562658
153,Urbanització Juncosa 2,845467,4562649
154,Vall d'Aran,844317,4566279
155,Ventura Gassol 2,845289,4565027
156,Ventura Gassol 1,845346,4565040
157,Victor Català 2,842848,4564212
158,Victor Català 1,842847,4564190
159,Vidal i Barraquer 2,844916,4563486
160,Vilafortuny 1,844064,4563504
161,Vilafortuny 2,844087,4563507
162,Vilallonga,845503,4564750
163,Villarroel 1,845240,4563940
164,Villarroel 2,845254,4563963
165,CESDA 1,847755,4563489
166,IES Gaudí - Mas Carandell,843638,4565082
167,Villablanca 1,848610,4561420
168,Jardins de Reus 1,845659,4564575
169,Aeroport  anulada,848670,4563476
170,Carles Riba 2,845450,4563735
171,Carles Riba 1,845431,4563725
172,Mas Abello 1,845786,4563705
173,Sant Josep 2 anulada,846090,4563588
174,Sol i Ortega 2,845526,4563853
175,Sol i Ortega 1,845513,4563862
176,Universitat anulada,845969,4563471
177,CESDA 2,847602,4563354
179,Sant Josep 1,845994,4563540
180,Fira de Reus,844173,4565171
181,Avinguda dels Jocs Olimpics anulada,843880,4564661
182,Nuestra Señora del Mar 1,847205,4562362
183,Mas Carpa 1,846554,4563746
184,Mas Carpa (fora de servei),846500,4563702
185,Noovo,845853,4564863
186,Avinguda del comerç ,843684,4564714
187,Avinguda Barcelona,843814,4564851
188,Avinguda de Salou 1,845756,4562547
189,Avinguda de Salou 2,845788,4562571
190,Rosaleda 1,843546,4563669
191,Cap Sant Pere 2,844031,4564068
192,Reus Transport Regulació,841853,4564955
193,Cementiri Regulació,846065,4565707
194,Jaume I 2,844947,4563759
195,Barri  Gaudi,843779,4564974
196,Hospital Consultas Externas 1,846038,4563234
197,Hospital Consultas Externas 2,846038,4563213
198,Hospital 1,846158,4563174
199,Hospital 2,846116,4563161
200,La Vitxeta,845139,4565688
201,Blancafort,843875,4562196
